Елемент;Кількість;Частота
че;1165;0.004516239077679312
ся;1163;0.004508485877545957
ви;1158;0.004489102877212569
ль;1134;0.004396064475612309
ми;1105;0.004283643073678661
им;1042;0.004039417269477977
аз;1019;0.003950255467944394
оч;985;0.003818451065677358
ск;977;0.0037874382651439382
ев;951;0.003686646663410323
еп;950;0.003682770063343645
ик;880;0.0034114080586762187
сл;880;0.0034114080586762187
му;878;0.0034036548585428634
тв;874;0.0033881484582761537
со;868;0.003364888857876088
оп;865;0.0033532590576760557
тр;860;0.0033338760573426683
ой;851;0.0032989866567425703
ки;850;0.003295110056675893
нн;840;0.003256344056009118
эт;837;0.0032447142558090854
ое;810;0.0031400460540087923
ои;805;0.0031206630536754045
ма;778;0.0030159948518751114
ру;777;0.0030121182518084337
ид;772;0.0029927352514750464
ьн;770;0.0029849820513416915
ар;768;0.002977228851208336
ич;765;0.0029655990510083037
из;761;0.0029500926507415935
ны;755;0.0029268330503415285
ей;755;0.0029268330503415285
бо;752;0.002915203250141496
ож;751;0.0029113266500748183
ад;739;0.0028648074492746882
еб;734;0.0028454244489413004
сь;727;0.0028182882484745577
ча;725;0.002810535048341203
ди;719;0.002787275447941138
ок;707;0.0027407562471410073
вы;694;0.0026903604462741996
ну;686;0.0026593476457407797
бе;680;0.0026360880453407142
хо;678;0.0026283348452073594
мн;673;0.0026089518448739715
ие;666;0.0025818156444072293
еш;655;0.0025391730436737764
ап;650;0.0025197900433403886
зн;646;0.0025042836430736785
ек;645;0.0025004070430070012
ят;643;0.002492653842873646
ше;642;0.0024887772428069687
св;631;0.002446134642073516
са;627;0.0024306282418068057
уд;619;0.002399615441273386
пе;610;0.002364726040673288
ьк;599;0.002322083439939835
ты;593;0.00229882383953977
дн;591;0.002291070639406415
ут;588;0.0022794408392063825
ду;588;0.0022794408392063825
ая;575;0.002229045038339575
ее;575;0.002229045038339575
сп;569;0.0022057854379395093
ип;569;0.0022057854379395093
лс;552;0.0021398832368059915
их;546;0.0021166236364059264
ыл;545;0.002112747036339249
вн;542;0.0021011172361392163
ьс;538;0.0020856108358725065
тс;536;0.0020778576357391512
ус;535;0.002073981035672474
ез;534;0.0020701044356057964
чи;530;0.002054598035339086
оо;528;0.0020468448352057313
аж;525;0.002035215035005699
ши;505;0.0019576830336721484
оз;502;0.0019460532334721157
ае;500;0.0019383000333387606
др;498;0.0019305468332054055
ян;494;0.0019150404329386955
си;490;0.0018995340326719854
уг;489;0.001895657432605308
ша;489;0.001895657432605308
аи;481;0.0018646446320718876
еч;479;0.0018568914319385325
иб;479;0.0018568914319385325
яв;477;0.0018491382318051777
ня;475;0.0018413850316718226
ту;470;0.001822002031338435
тн;469;0.0018181254312717573
уч;464;0.0017987424309383697
лу;463;0.0017948658308716923
уж;459;0.0017793594306049821
уп;459;0.0017793594306049821
ку;456;0.0017677296304049496
ии;453;0.001756099830204917
кр;450;0.0017444700300048846
лю;441;0.0017095806294047868
яс;437;0.0016940742291380768
гд;432;0.0016746912288046892
ый;431;0.0016708146287380116
ум;423;0.0016398018282045915
нь;422;0.0016359252281379138
ля;422;0.0016359252281379138
еи;417;0.0016165422278045262
ия;414;0.0016049124276044937
ще;411;0.0015932826274044612
жи;405;0.0015700230270043961
ио;398;0.0015428868265376535
ео;397;0.0015390102264709758
ув;395;0.001531257026337621
см;394;0.0015273804262709433
па;392;0.0015196272261375882
бр;390;0.0015118740260042333
ыс;388;0.0015041208258708783
ым;379;0.0014692314252707805
гл;378;0.001465354825204103
ьв;373;0.0014459718248707155
ыв;371;0.0014382186247373604
сн;367;0.0014227122244706502
вд;359;0.00139169942393723
ий;358;0.0013878228238705527
кн;358;0.0013878228238705527
жа;356;0.0013800696237371976
ач;355;0.00137619302367052
аш;346;0.0013413036230704224
иш;344;0.0013335504229370673
шь;340;0.0013180440226703571
бу;338;0.0013102908225370022
аб;336;0.0013025376224036472
ун;335;0.0012986610223369695
фе;334;0.001294784422270292
ул;334;0.001294784422270292
яи;332;0.001287031222136937
ыт;330;0.001279278022003582
аг;330;0.001279278022003582
мс;328;0.001271524821870227
вл;328;0.001271524821870227
оя;323;0.0012521418215368392
сс;319;0.0012366354212701293
ах;312;0.0012094992208033866
ье;312;0.0012094992208033866
ир;309;0.001197869420603354
иг;308;0.0011939928205366764
ао;305;0.001182363020336644
ьи;302;0.0011707332201366114
це;302;0.0011707332201366114
аю;294;0.0011397204196031913
йс;293;0.0011358438195365136
еж;288;0.001116460819203126
рь;284;0.001100954418936416
би;284;0.001100954418936416
зв;282;0.001093201218803061
ря;282;0.001093201218803061
як;281;0.0010893246187363835
ьт;275;0.0010660650183363183
кс;273;0.0010583118182029632
уш;269;0.0010428054179362533
мы;268;0.0010389288178695756
ьп;267;0.0010350522178028982
яп;267;0.0010350522178028982
зд;266;0.0010311756177362205
ую;264;0.0010234224176028657
ук;264;0.0010234224176028657
су;263;0.001019545817536188
гр;262;0.0010156692174695106
ые;260;0.0010079160173361555
ещ;258;0.0010001628172028004
ех;258;0.0010001628172028004
оу;253;0.0009807798168694128
яд;252;0.0009769032168027354
мп;249;0.0009652734166027027
уб;249;0.0009652734166027027
ец;248;0.0009613968165360252
га;247;0.0009575202164693478
кт;247;0.0009575202164693478
дь;245;0.0009497670163359927
йн;244;0.0009458904162693151
ын;243;0.0009420138162026376
вп;243;0.0009420138162026376
чн;242;0.0009381372161359602
ял;242;0.0009381372161359602
жд;238;0.00092263081586925
бл;238;0.00092263081586925
ых;237;0.0009187542158025725
бя;236;0.000914877615735895
ры;235;0.0009110010156692175
ош;234;0.0009071244156025399
чу;234;0.0009071244156025399
ай;234;0.0009071244156025399
кв;233;0.0009032478155358624
юб;233;0.0009032478155358624
ги;230;0.0008916180153358299
ою;230;0.0008916180153358299
лн;228;0.0008838648152024748
ца;227;0.0008799882151357973
кл;224;0.0008683584149357647
мв;223;0.0008644818148690872
ьо;222;0.0008606052148024097
зо;221;0.0008567286147357322
еу;216;0.0008373456144023446
вш;216;0.0008373456144023446
жн;214;0.0008295924142689895
иц;211;0.0008179626140689569
йт;211;0.0008179626140689569
дв;210;0.0008140860140022795
ьм;209;0.0008102094139356019
нс;208;0.0008063328138689244
тя;208;0.0008063328138689244
ьч;206;0.0007985796137355693
ья;205;0.0007947030136688919
рн;204;0.0007908264136022143
рд;204;0.0007908264136022143
вр;203;0.0007869498135355368
вт;202;0.0007830732134688592
пи;201;0.0007791966134021817
уи;201;0.0007791966134021817
ям;201;0.0007791966134021817
яо;196;0.0007598136130687941
лв;196;0.0007598136130687941
иу;194;0.0007520604129354391
дл;193;0.0007481838128687616
щи;192;0.000744307212802084
йи;192;0.000744307212802084
ву;191;0.0007404306127354065
гу;190;0.0007365540126687291
тк;186;0.0007210476124020189
шк;185;0.0007171710123353414
яч;184;0.0007132944122686639
йд;180;0.0006977880120019538
тп;179;0.0006939114119352763
шн;173;0.0006706518115352112
нт;173;0.0006706518115352112
лк;172;0.0006667752114685336
йп;171;0.0006628986114018561
пл;170;0.0006590220113351786
юс;167;0.000647392211135146
лы;165;0.000639639011001791
йв;165;0.000639639011001791
яб;163;0.000631885810868436
лч;163;0.000631885810868436
кб;162;0.0006280092108017584
ют;161;0.0006241326107350809
ке;160;0.0006202560106684034
ба;160;0.0006202560106684034
ау;159;0.0006163794106017258
тт;157;0.0006086262104683708
ох;154;0.0005969964102683382
чк;154;0.0005969964102683382
зи;152;0.0005892432101349832
пу;150;0.0005814900100016282
тч;149;0.0005776134099349506
ея;147;0.0005698602098015956
шу;147;0.0005698602098015956
мч;147;0.0005698602098015956
йч;145;0.0005621070096682406
тд;145;0.0005621070096682406
ды;145;0.0005621070096682406
тб;143;0.0005543538095348856
ып;142;0.000550477209468208
юд;141;0.0005466006094015305
мт;141;0.0005466006094015305
яз;140;0.000542724009334853
ьд;139;0.0005388474092681754
ух;139;0.0005388474092681754
сч;139;0.0005388474092681754
ха;139;0.0005388474092681754
ыд;138;0.0005349708092014979
нв;137;0.0005310942091348204
хс;137;0.0005310942091348204
ыр;137;0.0005310942091348204
вк;137;0.0005310942091348204
вз;136;0.0005272176090681429
йк;134;0.0005194644089347878
иж;134;0.0005194644089347878
мя;133;0.0005155878088681103
оэ;132;0.0005117112088014328
рв;132;0.0005117112088014328
дя;131;0.0005078346087347553
аа;130;0.0005039580086680777
пя;130;0.0005039580086680777
рт;130;0.0005039580086680777
ур;129;0.0005000814086014002
хн;129;0.0005000814086014002
яе;129;0.0005000814086014002
дс;128;0.0004962048085347227
вм;126;0.0004884516084013677
ьб;125;0.00048457500833469014
ыи;125;0.00048457500833469014
мд;125;0.00048457500833469014
иа;122;0.00047294520813465757
ьз;122;0.00047294520813465757
мл;121;0.0004690686080679801
гн;121;0.0004690686080679801
сд;121;0.0004690686080679801
хи;119;0.000461315407934625
нд;119;0.000461315407934625
уе;118;0.0004574388078679475
лп;118;0.0004574388078679475
йм;117;0.00045356220780126997
нк;117;0.00045356220780126997
хв;116;0.00044968560773459243
еа;116;0.00044968560773459243
дм;115;0.00044580900766791494
юн;115;0.00044580900766791494
вч;115;0.00044580900766791494
яу;113;0.0004380558075345599
оа;113;0.0004380558075345599
мк;113;0.0004380558075345599
аэ;112;0.00043417920746788237
ьш;112;0.00043417920746788237
зе;112;0.00043417920746788237
шл;109;0.0004225494072678498
ыб;109;0.0004225494072678498
лж;108;0.0004186728072011723
уз;108;0.0004186728072011723
рп;106;0.0004109196070678172
ыш;106;0.0004109196070678172
нп;105;0.00040704300700113974
лт;105;0.00040704300700113974
хл;104;0.0004031664069344622
вя;104;0.0004031664069344622
тм;104;0.0004031664069344622
дц;103;0.00039928980686778465
уо;101;0.0003915366067344296
ыч;101;0.0003915366067344296
ща;101;0.0003915366067344296
юв;99;0.0003837834066010746
ью;99;0.0003837834066010746
ию;98;0.00037990680653439705
ьа;98;0.00037990680653439705
ык;98;0.00037990680653439705
вэ;98;0.00037990680653439705
лб;97;0.00037603020646771957
мм;96;0.000372153606401042
зг;96;0.000372153606401042
зы;96;0.000372153606401042
хп;96;0.000372153606401042
жу;96;0.000372153606401042
ею;95;0.00036827700633436454
вв;95;0.00036827700633436454
сы;95;0.00036827700633436454
вг;95;0.00036827700633436454
ях;93;0.00036052380620100945
ге;91;0.0003527706060676544
сю;89;0.0003450174059342994
дк;89;0.0003450174059342994
рк;89;0.0003450174059342994
мр;88;0.00034114080586762185
бн;88;0.00034114080586762185
яа;88;0.00034114080586762185
еэ;88;0.00034114080586762185
зл;86;0.0003333876057342668
рс;86;0.0003333876057342668
зм;86;0.0003333876057342668
вь;85;0.0003295110056675893
юп;85;0.0003295110056675893
цу;84;0.0003256344056009118
юи;84;0.0003256344056009118
зу;84;0.0003256344056009118
хр;84;0.0003256344056009118
рж;84;0.0003256344056009118
юч;83;0.00032175780553423425
нч;83;0.00032175780553423425
йо;83;0.00032175780553423425
тц;83;0.00032175780553423425
ущ;82;0.00031788120546755676
кк;82;0.00031788120546755676
ьу;82;0.00031788120546755676
лд;81;0.0003140046054008792
цо;81;0.0003140046054008792
лг;81;0.0003140046054008792
рю;80;0.0003101280053342017
мб;80;0.0003101280053342017
тл;79;0.0003062514052675242
чь;79;0.0003062514052675242
ьг;79;0.0003062514052675242
йф;78;0.00030237480520084665
рц;78;0.00030237480520084665
ьл;77;0.0002984982051341691
йш;75;0.0002907450050008141
ср;75;0.0002907450050008141
ци;74;0.0002868684049341366
сх;74;0.0002868684049341366
йб;73;0.00028299180486745905
рш;73;0.00028299180486745905
йг;73;0.00028299180486745905
ыз;73;0.00028299180486745905
ющ;73;0.00028299180486745905
яг;72;0.0002791152048007815
нб;70;0.0002713620046674265
зр;70;0.0002713620046674265
мг;70;0.0002713620046674265
яр;69;0.00026748540460074893
ьэ;67;0.0002597322044673939
рг;66;0.0002558556044007164
кп;66;0.0002558556044007164
йр;64;0.00024810240426736133
ащ;64;0.00024810240426736133
нф;64;0.00024810240426736133
сб;63;0.00024422580420068384
зб;63;0.00024422580420068384
дт;63;0.00024422580420068384
юм;63;0.00024422580420068384
ыо;62;0.0002403492041340063
иэ;62;0.0002403492041340063
кд;62;0.0002403492041340063
нг;62;0.0002403492041340063
яж;61;0.00023647260406732879
сж;61;0.00023647260406732879
хд;61;0.00023647260406732879
хм;61;0.00023647260406732879
зя;60;0.00023259600400065127
км;60;0.00023259600400065127
хт;59;0.00022871940393397376
зк;59;0.00022871940393397376
яя;59;0.00022871940393397376
бщ;58;0.00022484280386729621
кч;58;0.00022484280386729621
нц;58;0.00022484280386729621
яэ;58;0.00022484280386729621
юк;58;0.00022484280386729621
ыг;57;0.0002209662038006187
шо;57;0.0002209662038006187
тз;57;0.0002209662038006187
аф;56;0.00021708960373394118
зп;56;0.00021708960373394118
ящ;56;0.00021708960373394118
ьр;55;0.00021321300366726367
вб;54;0.00020933640360058616
нм;54;0.00020933640360058616
ху;54;0.00020933640360058616
йа;54;0.00020933640360058616
нз;54;0.00020933640360058616
бь;54;0.00020933640360058616
пы;54;0.00020933640360058616
оц;52;0.0002015832034672311
рм;52;0.0002015832034672311
лм;52;0.0002015832034672311
мз;51;0.00019770660340055358
уу;51;0.00019770660340055358
бс;50;0.00019383000333387607
фа;50;0.00019383000333387607
юр;50;0.00019383000333387607
йу;49;0.00018995340326719853
ощ;48;0.000186076803200521
тг;48;0.000186076803200521
оф;47;0.0001822002031338435
ню;47;0.0001822002031338435
сг;47;0.0001822002031338435
юж;46;0.00017832360306716598
гп;46;0.00017832360306716598
уя;46;0.00017832360306716598
хк;45;0.00017444700300048844
чр;45;0.00017444700300048844
сэ;45;0.00017444700300048844
йж;45;0.00017444700300048844
кж;44;0.00017057040293381093
хб;44;0.00017057040293381093
уа;44;0.00017057040293381093
ищ;43;0.0001666938028671334
гс;42;0.0001628172028004559
чв;41;0.00015894060273377838
жк;41;0.00015894060273377838
фи;41;0.00015894060273377838
шт;41;0.00015894060273377838
зс;40;0.00015506400266710084
кэ;40;0.00015506400266710084
гк;40;0.00015506400266710084
уй;40;0.00015506400266710084
мж;40;0.00015506400266710084
лз;40;0.00015506400266710084
уэ;39;0.00015118740260042332
юо;38;0.0001473108025337458
юа;38;0.0001473108025337458
зь;38;0.0001473108025337458
йз;37;0.0001434342024670683
яю;37;0.0001434342024670683
тэ;36;0.00013955760240039075
гв;36;0.00013955760240039075
ьх;36;0.00013955760240039075
фо;36;0.00013955760240039075
ыа;36;0.00013955760240039075
щу;36;0.00013955760240039075
хе;35;0.00013568100233371324
дп;35;0.00013568100233371324
нр;35;0.00013568100233371324
цы;35;0.00013568100233371324
иф;34;0.00013180440226703572
нщ;34;0.00013180440226703572
ыу;34;0.00013180440226703572
йе;33;0.0001279278022003582
дч;33;0.0001279278022003582
хч;33;0.0001279278022003582
мь;33;0.0001279278022003582
цп;33;0.0001279278022003582
юш;33;0.0001279278022003582
бв;32;0.00012405120213368067
рб;32;0.00012405120213368067
сз;32;0.00012405120213368067
зж;32;0.00012405120213368067
кя;32;0.00012405120213368067
мэ;32;0.00012405120213368067
ьж;32;0.00012405120213368067
ыэ;32;0.00012405120213368067
йл;31;0.00012017460206700315
тж;31;0.00012017460206700315
вх;31;0.00012017460206700315
лр;30;0.00011629800200032564
чш;30;0.00011629800200032564
ьц;30;0.00011629800200032564
чс;29;0.00011242140193364811
рз;29;0.00011242140193364811
сш;29;0.00011242140193364811
юя;29;0.00011242140193364811
сц;28;0.00010854480186697059
кг;28;0.00010854480186697059
юе;28;0.00010854480186697059
юу;28;0.00010854480186697059
чо;28;0.00010854480186697059
зт;27;0.00010466820180029308
пь;27;0.00010466820180029308
тю;27;0.00010466820180029308
ыж;27;0.00010466820180029308
яф;27;0.00010466820180029308
лэ;26;0.00010079160173361555
чп;25;9.691500166693803e-05
хг;25;9.691500166693803e-05
цв;25;9.691500166693803e-05
мх;25;9.691500166693803e-05
пн;25;9.691500166693803e-05
тх;25;9.691500166693803e-05
кз;25;9.691500166693803e-05
йэ;24;9.30384016002605e-05
юг;24;9.30384016002605e-05
рх;23;8.916180153358299e-05
йх;23;8.916180153358299e-05
ыя;23;8.916180153358299e-05
бэ;22;8.528520146690546e-05
хж;22;8.528520146690546e-05
юз;22;8.528520146690546e-05
ац;21;8.140860140022795e-05
юл;21;8.140860140022795e-05
мф;20;7.753200133355042e-05
гч;20;7.753200133355042e-05
гз;20;7.753200133355042e-05
зз;20;7.753200133355042e-05
еф;19;7.36554012668729e-05
бк;19;7.36554012668729e-05
дб;19;7.36554012668729e-05
гм;19;7.36554012668729e-05
лл;19;7.36554012668729e-05
рф;19;7.36554012668729e-05
вж;18;6.977880120019538e-05
яц;18;6.977880120019538e-05
рч;18;6.977880120019538e-05
вц;18;6.977880120019538e-05
жт;18;6.977880120019538e-05
пт;17;6.590220113351786e-05
цн;17;6.590220113351786e-05
гт;17;6.590220113351786e-05
рл;16;6.202560106684033e-05
хз;16;6.202560106684033e-05
ьф;16;6.202560106684033e-05
дг;16;6.202560106684033e-05
йя;16;6.202560106684033e-05
лф;16;6.202560106684033e-05
жо;16;6.202560106684033e-05
гб;16;6.202560106684033e-05
жь;16;6.202560106684033e-05
уф;15;5.814900100016282e-05
дш;15;5.814900100016282e-05
чм;15;5.814900100016282e-05
бм;15;5.814900100016282e-05
юф;14;5.4272400933485296e-05
нл;14;5.4272400933485296e-05
чд;14;5.4272400933485296e-05
цт;14;5.4272400933485296e-05
щн;13;5.0395800866807775e-05
хя;13;5.0395800866807775e-05
пк;13;5.0395800866807775e-05
шп;12;4.651920080013025e-05
хх;12;4.651920080013025e-05
юэ;12;4.651920080013025e-05
жб;12;4.651920080013025e-05
вщ;12;4.651920080013025e-05
дз;12;4.651920080013025e-05
жс;11;4.264260073345273e-05
кф;11;4.264260073345273e-05
юю;11;4.264260073345273e-05
жв;11;4.264260073345273e-05
фр;11;4.264260073345273e-05
яй;11;4.264260073345273e-05
дд;11;4.264260073345273e-05
дх;11;4.264260073345273e-05
эм;10;3.876600066677521e-05
сф;10;3.876600066677521e-05
кц;10;3.876600066677521e-05
нж;10;3.876600066677521e-05
тш;10;3.876600066677521e-05
бх;10;3.876600066677521e-05
нх;10;3.876600066677521e-05
нш;10;3.876600066677521e-05
йц;10;3.876600066677521e-05
яш;10;3.876600066677521e-05
нэ;10;3.876600066677521e-05
гг;10;3.876600066677521e-05
эк;9;3.488940060009769e-05
фь;9;3.488940060009769e-05
цс;9;3.488940060009769e-05
чл;9;3.488940060009769e-05
чя;9;3.488940060009769e-05
мш;9;3.488940060009769e-05
юх;9;3.488940060009769e-05
цк;9;3.488940060009769e-05
щь;9;3.488940060009769e-05
пч;9;3.488940060009769e-05
цм;9;3.488940060009769e-05
хэ;9;3.488940060009769e-05
кх;8;3.1012800533420166e-05
фу;8;3.1012800533420166e-05
мц;8;3.1012800533420166e-05
юц;7;2.7136200466742648e-05
чх;7;2.7136200466742648e-05
зш;7;2.7136200466742648e-05
бд;7;2.7136200466742648e-05
шм;7;2.7136200466742648e-05
зч;7;2.7136200466742648e-05
пс;7;2.7136200466742648e-05
жч;7;2.7136200466742648e-05
эл;7;2.7136200466742648e-05
хш;7;2.7136200466742648e-05
фл;7;2.7136200466742648e-05
пц;7;2.7136200466742648e-05
пп;7;2.7136200466742648e-05
ьщ;6;2.3259600400065126e-05
эп;6;2.3259600400065126e-05
чз;6;2.3259600400065126e-05
жп;6;2.3259600400065126e-05
цд;6;2.3259600400065126e-05
хц;6;2.3259600400065126e-05
лх;6;2.3259600400065126e-05
бт;6;2.3259600400065126e-05
жя;6;2.3259600400065126e-05
жл;5;1.9383000333387605e-05
шг;5;1.9383000333387605e-05
лш;5;1.9383000333387605e-05
тф;5;1.9383000333387605e-05
жм;5;1.9383000333387605e-05
цз;5;1.9383000333387605e-05
цг;5;1.9383000333387605e-05
чг;5;1.9383000333387605e-05
чч;5;1.9383000333387605e-05
мщ;5;1.9383000333387605e-05
ыщ;5;1.9383000333387605e-05
бб;5;1.9383000333387605e-05
гэ;5;1.9383000333387605e-05
ыф;4;1.5506400266710083e-05
цб;4;1.5506400266710083e-05
бш;4;1.5506400266710083e-05
уц;4;1.5506400266710083e-05
цр;4;1.5506400266710083e-05
фя;4;1.5506400266710083e-05
дж;4;1.5506400266710083e-05
ыц;4;1.5506400266710083e-05
чб;4;1.5506400266710083e-05
кш;4;1.5506400266710083e-05
йю;4;1.5506400266710083e-05
тщ;4;1.5506400266710083e-05
эн;4;1.5506400266710083e-05
эш;4;1.5506400266710083e-05
гж;3;1.1629800200032563e-05
рр;3;1.1629800200032563e-05
вф;3;1.1629800200032563e-05
дэ;3;1.1629800200032563e-05
цл;3;1.1629800200032563e-05
шс;3;1.1629800200032563e-05
гф;3;1.1629800200032563e-05
рщ;3;1.1629800200032563e-05
чэ;3;1.1629800200032563e-05
бч;3;1.1629800200032563e-05
жр;3;1.1629800200032563e-05
бз;3;1.1629800200032563e-05
жз;3;1.1629800200032563e-05
эх;3;1.1629800200032563e-05
гш;3;1.1629800200032563e-05
пщ;3;1.1629800200032563e-05
фс;3;1.1629800200032563e-05
жэ;3;1.1629800200032563e-05
бп;3;1.1629800200032563e-05
цф;3;1.1629800200032563e-05
цч;3;1.1629800200032563e-05
жг;3;1.1629800200032563e-05
пд;2;7.753200133355042e-06
цж;2;7.753200133355042e-06
зц;2;7.753200133355042e-06
гя;2;7.753200133355042e-06
зх;2;7.753200133355042e-06
зэ;2;7.753200133355042e-06
зф;2;7.753200133355042e-06
эд;2;7.753200133355042e-06
шд;2;7.753200133355042e-06
вю;2;7.753200133355042e-06
ця;2;7.753200133355042e-06
зю;2;7.753200133355042e-06
жж;2;7.753200133355042e-06
мю;2;7.753200133355042e-06
шб;2;7.753200133355042e-06
що;2;7.753200133355042e-06
гх;2;7.753200133355042e-06
фм;2;7.753200133355042e-06
эв;2;7.753200133355042e-06
эч;2;7.753200133355042e-06
хф;1;3.876600066677521e-06
пг;1;3.876600066677521e-06
бж;1;3.876600066677521e-06
хю;1;3.876600066677521e-06
ыю;1;3.876600066677521e-06
фф;1;3.876600066677521e-06
йщ;1;3.876600066677521e-06
цэ;1;3.876600066677521e-06
эг;1;3.876600066677521e-06
эй;1;3.876600066677521e-06
жц;1;3.876600066677521e-06
пш;1;3.876600066677521e-06
жх;1;3.876600066677521e-06
лц;1;3.876600066677521e-06
фн;1;3.876600066677521e-06
фт;1;3.876600066677521e-06
жю;1;3.876600066677521e-06
цх;1;3.876600066677521e-06
шф;1;3.876600066677521e-06
шв;1;3.876600066677521e-06
ээ;1;3.876600066677521e-06
гю;1;3.876600066677521e-06
рэ;1;3.876600066677521e-06
шр;1;3.876600066677521e-06
фы;1;3.876600066677521e-06
